temps,fc,vitesse,altitude,distance,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber
116,164,2.398000002,1917.400024,835.9299927,164,2.398000002,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
117,164,2.398000002,1917.599976,838.9099731,164,2.398000002,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
118,164,2.426000118,1918.199951,846.2600098,164,2.426000118,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
119,164,2.426000118,1918.199951,851.4099731,164,2.426000118,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
120,164,2.426000118,1919.199951,855.789978,164,2.426000118,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
121,164,2.426000118,1919.400024,858.0900269,164,2.426000118,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
122,164,2.463000059,1920,878.8800049,164,2.463000059,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
123,164,2.47300005,1920.400024,881.2600098,164,2.47300005,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
124,164,2.463000059,1921.400024,889.0599976,164,2.463000059,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
125,164,2.463000059,1921.599976,891.0599976,164,2.463000059,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
126,164,2.444999933,1922.800049,900.9000244,164,2.444999933,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
127,164,2.444999933,1923.800049,908.4500122,164,2.444999933,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
128,164,2.444999933,1924,910.6799927,164,2.444999933,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
129,164,2.434999943,1925,920.1500244,164,2.434999943,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
130,164,2.444999933,1926.199951,927.3099976,164,2.444999933,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
131,164,2.426000118,1927.400024,936.2600098,164,2.426000118,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
132,165,2.426000118,1927.400024,941.0100098,165,2.426000118,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
133,165,2.463000059,1928.400024,952.5,165,2.463000059,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
134,165,2.490999937,1928.599976,958.0100098,165,2.490999937,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
135,165,2.519000053,1929.800049,966.1500244,165,2.519000053,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
136,165,2.565999985,1930,979.6799927,165,2.565999985,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
