temps,hr,speed,altitude,distance,activity_type,1,,cadence,1,,power,1,,accumulated_power,1,,step_length,1,,,,,,,
95,176,3.017,1840.0,356.0,activity_type,1,,cadence,81,rpm,power,349,watts,accumulated_power,27619,watts,step_length,1110.0,mm,enhanced_altitude,1840.0,m,enhanced_speed,3.017,m/s
96,176,3.017,1840.0,359.0,activity_type,1,,cadence,81,rpm,power,349,watts,accumulated_power,27968,watts,step_length,1110.0,mm,enhanced_altitude,1840.0,m,enhanced_speed,3.017,m/s
97,176,3.017,1840.0,362.5,activity_type,1,,cadence,81,rpm,power,349,watts,accumulated_power,28317,watts,step_length,1110.0,mm,enhanced_altitude,1840.0,m,enhanced_speed,3.017,m/s
98,176,3.017,1840.0,366.0,activity_type,1,,cadence,82,rpm,power,349,watts,accumulated_power,28666,watts,step_length,1110.0,mm,enhanced_altitude,1840.0,m,enhanced_speed,3.017,m/s
99,176,2.994,1841.0,369.0,activity_type,1,,cadence,81,rpm,power,331,watts,accumulated_power,28997,watts,step_length,1100.0,mm,enhanced_altitude,1841.0,m,enhanced_speed,2.994,m/s
100,176,2.972,1841.0,372.0,activity_type,1,,cadence,81,rpm,power,314,watts,accumulated_power,29311,watts,step_length,1090.0,mm,enhanced_altitude,1841.0,m,enhanced_speed,2.972,m/s
101,176,2.972,1841.0,375.5,activity_type,1,,cadence,81,rpm,power,314,watts,accumulated_power,29625,watts,step_length,1090.0,mm,enhanced_altitude,1841.0,m,enhanced_speed,2.972,m/s
102,176,2.972,1842.0,379.0,activity_type,1,,cadence,82,rpm,power,314,watts,accumulated_power,29939,watts,step_length,1090.0,mm,enhanced_altitude,1842.0,m,enhanced_speed,2.972,m/s
103,177,2.967,1842.0,381.5,activity_type,1,,cadence,82,rpm,power,306,watts,accumulated_power,30245,watts,step_length,1090.0,mm,enhanced_altitude,1842.0,m,enhanced_speed,2.967,m/s
104,177,2.964,1843.0,384.0,activity_type,1,,cadence,82,rpm,power,299,watts,accumulated_power,30544,watts,step_length,1090.0,mm,enhanced_altitude,1843.0,m,enhanced_speed,2.964,m/s
105,177,2.964,1843.0,386.5,activity_type,1,,cadence,82,rpm,power,299,watts,accumulated_power,30843,watts,step_length,1080.0,mm,enhanced_altitude,1843.0,m,enhanced_speed,2.964,m/s
106,176,2.964,1843.0,389.0,activity_type,1,,cadence,82,rpm,power,299,watts,accumulated_power,31142,watts,step_length,1080.0,mm,enhanced_altitude,1843.0,m,enhanced_speed,2.964,m/s
107,177,2.964,1844.0,391.0,activity_type,1,,cadence,82,rpm,power,299,watts,accumulated_power,31441,watts,step_length,1080.0,mm,enhanced_altitude,1844.0,m,enhanced_speed,2.964,m/s
108,177,2.964,1844.0,393.0,activity_type,1,,cadence,82,rpm,power,299,watts,accumulated_power,31740,watts,step_length,1080.0,mm,enhanced_altitude,1844.0,m,enhanced_speed,2.964,m/s
109,177,2.967,1845.0,394.5,activity_type,1,,cadence,81,rpm,power,314,watts,accumulated_power,32054,watts,step_length,1080.0,mm,enhanced_altitude,1845.0,m,enhanced_speed,2.967,m/s
110,176,2.972,1845.0,396.0,activity_type,1,,cadence,81,rpm,power,329,watts,accumulated_power,32383,watts,step_length,1090.0,mm,enhanced_altitude,1845.0,m,enhanced_speed,2.972,m/s
111,176,2.972,1845.0,398.5,activity_type,1,,cadence,81,rpm,power,329,watts,accumulated_power,32712,watts,step_length,1090.0,mm,enhanced_altitude,1845.0,m,enhanced_speed,2.972,m/s
112,177,2.972,1846.0,401.0,activity_type,1,,cadence,81,rpm,power,329,watts,accumulated_power,33041,watts,step_length,1090.0,mm,enhanced_altitude,1846.0,m,enhanced_speed,2.972,m/s
113,177,2.956,1846.0,404.5,activity_type,1,,cadence,80,rpm,power,342,watts,accumulated_power,33383,watts,step_length,1080.0,mm,enhanced_altitude,1846.0,m,enhanced_speed,2.956,m/s
114,177,2.939,1847.0,408.0,activity_type,1,,cadence,80,rpm,power,355,watts,accumulated_power,33738,watts,step_length,1080.0,mm,enhanced_altitude,1847.0,m,enhanced_speed,2.939,m/s
115,177,2.939,1847.0,410.5,activity_type,1,,cadence,81,rpm,power,355,watts,accumulated_power,34093,watts,step_length,1080.0,mm,enhanced_altitude,1847.0,m,enhanced_speed,2.939,m/s
116,178,2.939,1847.0,413.0,activity_type,1,,cadence,81,rpm,power,355,watts,accumulated_power,34448,watts,step_length,1090.0,mm,enhanced_altitude,1847.0,m,enhanced_speed,2.939,m/s
117,178,2.939,1848.0,415.0,activity_type,1,,cadence,81,rpm,power,355,watts,accumulated_power,34803,watts,step_length,1090.0,mm,enhanced_altitude,1848.0,m,enhanced_speed,2.939,m/s
118,178,2.939,1848.0,417.0,activity_type,1,,cadence,81,rpm,power,355,watts,accumulated_power,35158,watts,step_length,1090.0,mm,enhanced_altitude,1848.0,m,enhanced_speed,2.939,m/s
119,178,2.9,1849.0,418.0,activity_type,1,,cadence,81,rpm,power,358,watts,accumulated_power,35516,watts,step_length,1070.0,mm,enhanced_altitude,1849.0,m,enhanced_speed,2.9,m/s
